filename,x_out_fiber_dist,x_out_fiber_dist_delta,exptime,iris_diam_perc,iris,f_ratio_in
f_psm_01_d_01.fits,32.0000,0.0000,0.8,18.000,8.000,2.5
f_psm_01_d_02.fits,31.0000,1.0000,0.8,18.000,8.000,2.5
f_psm_01_d_03.fits,30.0000,2.0000,0.8,18.000,8.000,2.5
f_psm_01_d_04.fits,29.0000,3.0000,0.8,18.000,8.000,2.5
f_psm_02_d_01.fits,32.0000,0.0000,0.8,11.000,5.600,3.5
f_psm_02_d_02.fits,31.0000,1.0000,0.8,11.000,5.600,3.5
f_psm_02_d_03.fits,30.0000,2.0000,0.8,11.000,5.600,3.5
f_psm_02_d_04.fits,29.0000,3.0000,0.8,11.000,5.600,3.5
f_psm_03_d_01.fits,32.0000,0.0000,0.8,10.000,5.290,3.65
f_psm_03_d_02.fits,31.0000,1.0000,0.8,10.000,5.290,3.65
f_psm_03_d_03.fits,30.0000,2.0000,0.8,10.000,5.290,3.65
f_psm_03_d_04.fits,29.0000,3.0000,0.8,10.000,5.290,3.65
f_psm_04_d_01.fits,32.0000,0.0000,0.8,9.000,5.070,4
f_psm_04_d_02.fits,31.0000,1.0000,0.8,9.000,5.070,4
f_psm_04_d_03.fits,30.0000,2.0000,0.8,9.000,5.070,4
f_psm_04_d_04.fits,29.0000,3.0000,0.8,9.000,5.070,4
f_psm_05_d_01.fits,32.0000,0.0000,0.8,7,4.22,5
f_psm_05_d_02.fits,31.0000,1.0000,0.8,7,4.22,5
f_psm_05_d_03.fits,30.0000,2.0000,0.8,7,4.22,5
f_psm_05_d_04.fits,29.0000,3.0000,0.8,7,4.22,5
f_psm_06_d_01.fits,32.0000,0.0000,0.8,4.000,2.950,6
f_psm_06_d_02.fits,31.0000,1.0000,0.8,4.000,2.950,6
f_psm_06_d_03.fits,30.0000,2.0000,0.8,4.000,2.950,6
f_psm_06_d_04.fits,29.0000,3.0000,0.8,4.000,2.950,6
f_psm_07_d_01.fits,32.0000,0.0000,0.8,2.000,2.390,7
f_psm_07_d_02.fits,31.0000,1.0000,0.8,2.000,2.390,7
f_psm_07_d_03.fits,30.0000,2.0000,0.8,2.000,2.390,7
f_psm_07_d_04.fits,29.0000,3.0000,0.8,2.000,2.390,7
f_psm_08_d_01.fits,32.0000,0.0000,0.8,2.000,2.390,7
f_psm_08_d_02.fits,31.0000,1.0000,0.8,2.000,2.390,7
f_psm_08_d_03.fits,30.0000,2.0000,0.8,2.000,2.390,7
f_psm_08_d_04.fits,29.0000,3.0000,0.8,2.000,2.390,7